country,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Guatemala,3,2,3,3,3,4,4,5,6,6,,6,6,4,3,3,3,3,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Guyana,2,2,7,3,3,3,4,4,4,4,,5,5,5,5,5,5,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Honduras,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,4,4
Croatia,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Haiti,6,6,6,6,6,6,6,6,6,6,,6,6,6,4,5,5,5,4,7,7,7,5,5,5,5,5,5,5,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Hungary,6,6,6,6,6,5,5,5,5,5,,5,5,5,5,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3
Indonesia,5,5,5,5,5,5,5,5,5,5,,5,6,6,6,6,5,5,5,5,5,6,6,6,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
India,3,3,3,5,5,2,2,2,3,3,,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4
Ireland,2,2,2,2,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Iran,6,6,6,6,6,5,5,5,5,6,,6,6,6,6,6,6,5,5,5,6,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Iraq,7,7,7,7,7,7,6,7,7,7,,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Iceland,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Israel,3,3,3,3,3,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3
Italy,2,2,2,2,1,2,2,2,2,2,,2,1,1,1,1,1,1,1,1,2,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
Jamaica,2,2,2,2,3,3,3,3,3,3,,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2
Jordan,6,6,6,6,6,6,6,6,6,6,,6,5,5,5,5,5,5,5,4,3,4,4,4,4,4,5,4,4,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Japan,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
Kazakhstan,,,,,,,,,,,,,,,,,,,,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Kenya,4,4,4,5,5,5,4,4,4,5,,5,5,5,5,6,6,6,6,6,5,6,6,6,6,6,5,5,5,5,4,3,3,3,3,3,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,4,2,3,3,4,4,4,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,4,4,5,5,5
Cambodia,5,5,6,7,7,7,7,7,7,7,,7,7,7,7,7,7,7,7,6,6,5,5,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Kiribati,,,,,,,,2,2,2,,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
St. Kitts and Nevis,,,,,,,,,,,,2,1,1,1,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South Korea,6,6,6,5,6,5,5,5,6,5,,6,5,5,5,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Kuwait,4,3,3,3,5,4,4,4,4,4,,4,4,4,5,5,5,4,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
Lao,5,5,5,6,7,7,7,7,7,7,,7,7,7,7,7,6,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Lebanon,2,2,2,4,4,4,4,4,4,4,,4,4,4,4,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4
Liberia,6,5,3,4,4,4,5,5,6,6,,5,5,5,5,5,5,5,7,6,6,6,6,6,6,5,5,5,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4
Libya,6,7,7,6,6,6,6,6,7,6,,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,5,6,6,6,6,6,6,6,6,6
St. Lucia,,,,,,,,3,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Liechtenstein,2,2,2,2,2,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sri Lanka,3,3,3,4,3,2,3,3,3,3,,4,4,4,4,4,4,5,5,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4
Lesotho,4,3,4,4,4,4,5,5,5,5,,5,5,5,5,6,6,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Lithuania,,,,,,,,,,,,,,,,,,,,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
Luxembourg,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Latvia,,,,,,,,,,,,,,,,,,,,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
Morocco,4,5,5,5,5,4,4,4,4,5,,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5
Monaco,2,2,2,2,2,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Moldova,,,,,,,,,,,,,,,,,,,,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,3,3,3
Madagascar,3,4,4,5,5,5,6,6,6,6,,6,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4
Maldives,2,2,2,4,4,4,5,5,5,5,,5,5,5,6,6,6,5,5,5,5,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5
Mexico,3,3,3,3,4,3,4,4,4,4,,4,4,4,4,4,4,3,4,4,3,4,4,4,3,4,4,4,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4
Marshall Islands,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
North Macedonia,,,,,,,,,,,,,,,,,,,,,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Mali,6,6,6,7,7,7,6,6,6,6,,6,6,6,6,6,6,6,5,4,3,3,4,3,2,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,5,4,4,4,4,4,4,5,5,5,5
Malta,2,1,1,1,2,2,2,3,3,3,,4,4,4,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Myanmar,5,5,5,6,6,6,6,6,6,6,,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,5,6,5,5,5,5,6,6,6,6
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3
Mongolia,7,7,7,7,7,7,7,7,7,7,,7,7,7,7,7,7,7,4,3,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Mozambique,,,,6,7,7,7,7,7,7,,6,7,7,7,7,7,7,6,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4
Mauritania,6,6,6,6,6,6,6,6,6,6,,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Mauritius,2,2,2,2,2,2,4,4,3,3,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Malawi,6,6,6,6,6,6,7,7,7,7,,7,7,7,7,7,7,6,6,6,7,5,3,3,3,3,3,3,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3
Malaysia,3,3,3,4,4,4,4,4,4,4,,4,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Namibia,5,5,5,,,,,,,,,,,,,,,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Niger,6,6,6,6,6,6,6,6,6,6,,6,6,6,6,6,6,6,5,5,4,4,5,5,5,5,5,5,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Nigeria,4,4,4,5,4,4,3,3,3,3,,3,5,5,5,5,5,5,5,4,4,5,6,7,6,6,4,3,4,5,5,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5
Nicaragua,3,4,4,4,5,5,5,5,5,5,,5,5,5,6,5,4,5,3,3,3,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,4,4,5,5,5,5,6
Netherlands,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Norway,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nepal,5,5,5,5,5,5,5,4,4,4,,4,4,4,4,4,4,5,4,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Nauru,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3
